D_TEXT_TOOLTIP_DRAGON_TROOPER,Primitive reptiloid warriors fiercely loyal to Delurin and equipped with ornate metal armor and flamethrowers to more closely resemble the Dragons of ancient myth. Unacquainted with blaster weaponry and other advanced technology, they are nonetheless resilient and quick on their feet.
D_TEXT_TOOLTIP_DRAGON_TROOPER_COMPANY,Company: 36x Dragon Trooper
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID_WEAP1,1x AV Beam Cannon: 12 / 1.5s / 320m
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID_WEAP2,1x Heavy AI Blaster Cannon (AOE): 1 / 0.5s / 240m
TEXT_TOOLTIP_PRAETOR_I,A large battleship produced before the Clone Wars to be flaunted by wealthy sectors and planets. While the vessels originally had hamstrung hyperdrives due to regulations, wartime conditions saw them upgraded out of necessity as task force leaders and response units. 
TEXT_TOOLTIP_PRAETOR_I_HULL,Hull: 32940 (Capital)
TEXT_TOOLTIP_PRAETOR_I_MOVE,Speed: 2.45 | Accel: 0.1 | Turn: 0.175
TEXT_TOOLTIP_PRAETOR_I_SHIELD,Shields: 30000 / [75/R] (Capital)
TEXT_TOOLTIP_PRAETOR_I_SQUADRON,Fighters: 3 / 12
TEXT_TOOLTIP_PRAETOR_I_WEAP1,20x Heavy Quad Turbolasers: 2 / 5.0s / 7.8km
TEXT_TOOLTIP_PRAETOR_I_WEAP2,8x Medium Dual Turbolasers: 2 / 4.0s / 6.8km
TEXT_TOOLTIP_PRAETOR_I_WEAP3,5x Heavy Dual Ion Cannons: 2 / 5.0s / 7.8km
TEXT_TOOLTIP_PRAETOR_I_WEAP4,8x Medium Dual Ion Cannons: 2 / 4.0s / 6.8km
TEXT_TOOLTIP_PROCURATOR,First full class of dedicated warships made post-Ruusan to qualify as a battlecruiser under the Anaxes War College System, the Procurator-class stands out as a prime example of Kuat Drive Yards ability to produce ships and market itself at the same time. Built nominally to defend the Kuat sector, the greater purpose of the daunting ship was to attract wealthy clients to KDY, which led to the Procurator being popular for Core and Colonies sector defense before being supplanted by the development of the Praetor-class. Though its weapon capabilities are limited the Procurator can still serve as an excellent anchor for any fleet.
TEXT_TOOLTIP_PROCURATOR_HULL,Hull: 13020 (Capital)
TEXT_TOOLTIP_PROCURATOR_MOVE,Speed: 2.45 | Accel: 0.05 | Turn: 0.15
TEXT_TOOLTIP_PROCURATOR_SHIELD,Shields: 9000 / [22.5/R] (Capital)
TEXT_TOOLTIP_PROCURATOR_SQUADRON,Fighters: 2 / 4
TEXT_TOOLTIP_PROCURATOR_WEAP1,8x Medium Dual Turbolasers: 2 / 2.0s / 6.5km
TEXT_TOOLTIP_PROCURATOR_WEAP2,14x Light Turbolasers: 2 / 1.0s / 5.5km
TEXT_TOOLTIP_PROCURATOR_WEAP3,6x Proton Torpedoes: 2 / 7.5s / 5.5km
TEXT_TOOLTIP_RBANN,Rbann was a Kubaz Imperial spy who worked directly for Blackhole, the shadowy Director of Imperial Intelligence. In 1 ABY, Blackhole dispatched Rbann to the "Gambler's World" of Vorzyd V, ordering the Kubaz to track prominent Rebel leaders Luke Skywalker and Leia Organa, who Blackhole had learned had been sent to Vorzyd V to disrupt Imperial operations there. Rbann quickly managed to track them to the Casino Royale in the capital city of Efavan, and his stormtroopers overpowered the Rebels and imprisoned them aboard Rbann's ship.
TEXT_TOOLTIP_REPUBLIC_TIE,The first general production model in a famous line of fighters with roots in the Sienar Advanced Project Vessel. It was created to fill space aboard older warships but was pressed into greater service due to efficiency compared to more expensive Kuati interceptors. It is sturdier than its successor designs but less maneuverable.
TEXT_TOOLTIP_SHADOW_ACCLAMATOR_I,A large, transgalactic assault vessel that was secretly developed before the Clone Wars. While best known for carrying army groups, it is typically used as a carrier in naval duties. Carries enough turbolasers to threaten other large ships, but is not durable for the size. Coated in black stygian-triprismatic polymer at the request of Cronal, this vessel was almost impossible to detect at sensor range and nearly invisible to the naked eye in deep space.
TEXT_TOOLTIP_SHADOW_ATAT,The Shadow AT-AT was an All Terrain Armored Transport walker covered with gleaming black armor. Utilized by the Galactic Empire during the Galactic Civil War fought against the Alliance to Restore the Republic, the Shadow AT-AT was created solely for the purpose of intimidating enemy forces rather than performing stealth operations. The Alliance's soldiers found the Shadow AT-AT to be one of the most frightening specters on the battlefield. 
TEXT_TOOLTIP_SHADOW_ATAT_COMPANY,Company: 1x Shadow AT-AT Walker
TEXT_TOOLTIP_SHADOW_ATAT_DEPLOY,Deploys: 1x Shadow Stormtroopers Squad
TEXT_TOOLTIP_SHADOW_CUSTOMS_CORVETTE,Designed to infringe on Corellian market niches during the last decades of the Republic, and famous for use with the Imperial Customs Office, this vessel is intended to dock with merchant freighters and transports to conduct routine system patrol and merchant vessel monitoring. It is not as durable as some purely military screening vessels, but is fast and well armed enough to perform the role in fleet combat. Coated in black stygian-triprismatic polymer at the request of Cronal, this vessel was nearly invisible to the naked eye in deep space.
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER,Rare cross-combination of Shadow Stormtrooper and Scout Trooper concepts. Shadow Scout troopers are Cronal's handpicked scout operatives and are tasked with covert operations such as reconnaissance, sabotage and assassinations. Equipped with highly lightweight yet durable cloaking armour that allows these Shadow Scout troopers to get around unnoticed and reposition more effectively. Used for ranged engagement and swift strikes, they are extremely effective against lightly armoured targets.
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY,20x Shadow Scout Trooper
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY_WEAP1,7x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY_WEAP2,2x Heavy Repeating Blaster: 5 / 1.0s / 280m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY_WEAP3,2x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY_WEAP4,4x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY_WEAP5,5x Blaster Sniper Rifle: 1 / 3.0s / 320m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY_WEAP6,6x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY_WEAP7,2x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_COMPANY_WEAP8,2x Sonic Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD,Squad: 5x Shadow Scout Trooper
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD0_WEAP1,3x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD0_WEAP2,1x Blaster Sniper Rifle: 1 / 3.0s / 320m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD0_WEAP3,1x Heavy Repeating Blaster: 5 / 1.0s / 280m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD0_WEAP4,1x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD0_WEAP5,1x Sonic Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD1_WEAP1,1x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD1_WEAP2,3x Blaster Sniper Rifle: 1 / 3.0s / 320m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD1_WEAP3,1x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD1_WEAP4,1x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD2_WEAP1,2x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD2_WEAP2,3x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD2_WEAP3,3x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_SHADOW_SCOUT_TROOPER_SQUAD2_WEAP4,2x Thermal Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_SHADOW_STAR_DESTROYER_CARRIER,ISD-I hull conversion dedicating portions of its outer trenches for further hangar space at the cost of some dedicated shield and engine output. Saw most use as a deterrent against Rebel heavy carriers during the Galactic Civil War, though its exposed hangar space made it vulnerable to saboteurs boarding and sabotaging critical subsystems. Coated in black stygian-triprismatic polymer at the request of Cronal, this vessel was almost impossible to detect at sensor range and nearly invisible to the naked eye in deep space.
TEXT_TOOLTIP_SHADOW_TX130S,A fast and maneuverable "fighter tank" line developed by the Galactic Republic as a medium armor asset. Fixed weapons require it to face the target to bring its full firepower to bear while shields make up for somewhat light armor. Coated in black stygian-triprismatic polymer and fitted with a stygium cloaking device which allows it to hide from sensors of any kind.
TEXT_TOOLTIP_SHADOW_TX130S_COMPANY,Company: 3x Shadow TX-130S Fighter Tank
TEXT_TOOLTIP_SHADOW_ULAV,The ULAV is a small and fast but fragile landspeeder developed by Sienar which originally saw extensive use but typically became rapidly phased out after the early years of the Empire. Coated in black stygian-triprismatic polymer and fitted with a stygium cloaking device which allows it to hide from sensors of any kind.
TEXT_TOOLTIP_SHADOW_ULAV_COMPANY,Company: 4x Shadow Ultra-Light Assault Vehicle
TEXT_TOOLTIP_SHADOW_VENGEANCE_DREADNOUGHT,The Vengeance-class was based on the standard Super Star Destroyer design, the Executor-class. As such, the ship class was approximately 19 kilometers long. In addition, because of its dimensions, the ship class sometimes possessed the standard classification of a space station. Coated in black stygian-triprismatic polymer at the request of Cronal, this vessel was nearly invisible to the naked eye in deep space.
TEXT_TOOLTIP_SHADOW_VIGIL,A Kuat Drive Yards design in the Star Destroyer line, the Vigil shared many design elements with other Star Destroyers, although its lower command bridge gave it a smaller, harder-to-hit profile. Because of its size, it mostly served as a patrol vessel. Effective against medium sized targets in groups. Coated in black stygian-triprismatic polymer at the request of Cronal, this vessel was almost impossible to detect at sensor range and nearly invisible to the naked eye in deep space.
TEXT_TOOLTIP_SITH_SLAYER,The Sith Slayer was the rarest and most powerful droid of the Old Sith Empire. The brutal appearance belies surprising intelligence protected by thick layers of alchemical plating, making a terrifying opponent for enemy infantry and other light forces.
TEXT_TOOLTIP_SITH_SLAYER_COMPANY,Company: 1x Sith Slayer
TEXT_TOOLTIP_SITH_SLAYER_HEALTH,Health: 1425 [1%/5s] (Heavy Vehicle)
TEXT_TOOLTIP_SITH_SLAYER_MOVE,Speed: 0.75 | Turn: 1.0
TEXT_TOOLTIP_SITH_SLAYER_WEAP1,2x Heavy AI Blaster Cannons: 2 / 1.0s / 320m
TEXT_TOOLTIP_SITH_STRIDER,Designed to complement the hulking Sith Slayers and War Mammoths, the nimbler Sith Strider provides screening and antivehicle capabilities to its larger brethren. Though largely forgotten, many Sith holocrons contain the plans for these deadly droids.
TEXT_TOOLTIP_SITH_STRIDER_COMPANY,Company: 3x Sith Strider
TEXT_TOOLTIP_SITH_STRIDER_HEALTH,Health: 300 [2%/5s] (Medium Vehicle)
TEXT_TOOLTIP_SITH_STRIDER_MOVE,Speed: 1.5 | Turn: 4.0 
TEXT_TOOLTIP_SITH_STRIDER_WEAP1,2x AV Blaster Cannons: 1 / 2.0s / 320m
TEXT_TOOLTIP_SITH_WAR_MAMMOTH,A gruesome war droid, the Sith War Mammoth is a lumbering beast that towers over the battlefield. It shares many traits with its sibling creation in the Sith Slayer, such as two shoulder-mounted anti-infantry cannons and alchemically treated Sith-armor plating. Though comparatively its durability is weaker than the Slayers, it should by no means be underestimated lest one suffer the wrath of this nightmarish beast.
TEXT_TOOLTIP_SITH_WAR_MAMMOTH_COMPANY,Company: 2x Sith War Mammoth
TEXT_TOOLTIP_SITH_WAR_MAMMOTH_HEALTH,Health: 425 [2%/5s] (Heavy Vehicle)
TEXT_TOOLTIP_SITH_WAR_MAMMOTH_MOVE,Speed: 1.0 | Turn: 2.5 
TEXT_TOOLTIP_SITH_WAR_MAMMOTH_WEAP1,2x Heavy AI Blaster Cannons (AOE): 2 / 0.5s / 320m
TEXT_TOOLTIP_STAR_DESTROYER_TWO_ION,A variant more focused on taking down shields than crushing hulls, this star destroyer utilizes octuple ion cannons over octuple turbolasers. Despite losing a good amount of lethal firepower, it still is a great danger to encounter on the battlefield.
TEXT_TOOLTIP_STAR_DESTROYER_X,A variant of the venerable Imperial-I Star Destroyer that replaces it's rear turbolasers with more powerful batteries. Due to it's more expensive armament it is mostly used by higher ranking officers.
TEXT_TOOLTIP_TEZRIN,Dongal Tezrin was the captain of the light cruiser Rintonne's Flame. He was assigned to patrol the Elrood sector during the Galactic Civil War. He was known to be a very irritable person.
TEXT_TOOLTIP_TIE_DEFENDER_RED_STAR,Created a year after the fallout at Endor, Red Star Squadron was formed by starfighter ace Iran Ryad along with like-minded pilots who shared Ryad's idea of a zero-tolerance border policy. These Imperial pilots would relentlessly pursue any starships that entered Imperial space without permission.
TEXT_TOOLTIP_TIE_FIGHTER_BF2,A rare ad-hoc modification of the ubiquitous TIE Fighter, almost always operating from the equally rare Imperial Carrier Conversion Star Destroyers. It featured shields and a small proton torpedo magazine to keep up with the heavier X-Wings of the Rebellion and be a more versatile platform in carrier-to-carrier combat and anti-insurgency missions. However, despite upgraded components and the engineers' best tuning efforts, the additional systems impacted the flight performance significantly, making the normally nimble craft much more sluggish. The increased cost, reduced agility, and susceptibility to component sabotage made this variant a rare sight outside its original duties.
TEXT_TOOLTIP_TIE_FIGHTER_MISSILE,A modern iteration of a Clone Wars-era modification of earlier T.I.E. models. Due to its thinner frame, the TIE/ln can only carry a few missiles on external hardpoints, limiting the effectiveness of the upgrade but providing a modest improvement without affecting performance in other categories like a more extensive refit would. Originally rare sight, this configuration has become more common after the Battle of Endor; with Warlords scrambling to get the most out of their aging TIE fleets.
TEXT_TOOLTIP_TIE_INTERCEPTOR_ION,A somewhat obscure modification of the TIE Interceptor, replacing the nose-mounted secondary lasers with fighter-grade ion cannons and upgrading the frame's power systems to compensate for the increased power draw. The end result is better at tackling shielded fighters and larger targets but otherwise retains the performance of the stock configuration. While undeniably an upgrade over the base model, the increased cost and maintenance load makes it a rare sight.
TEXT_TOOLTIP_TIE_INTERCEPTOR_ION,
TEXT_TOOLTIP_TRAIT_AGENT_TIER_INDUSTRIALIST_TAGGE,Industrialist: TaggeCo (-20% cost, -20% time)
TEXT_TOOLTIP_UNITS_TIERFON_CAPITAL,Tierfon Capital: Allows unit construction
TEXT_TOOLTIP_UTAT,Repulsorlift assault vehicle created shortly into the Clone Wars for situations where walker vehicles are less-suited. Unwieldy and fragile compared to other heavy vehicles, but has a powerful set of fore-mounted anti-vehicle weapons. Standard configuration also boasts a respectable transport bay and rear-coverage anti-infantry guns.
TEXT_TOOLTIP_UTAT_COMPANY,Company: 1x UT-AT
TEXT_TOOLTIP_UTAT_HEALTH,Health: 450 (Heavy Vehicle)
TEXT_TOOLTIP_UTAT_MOVE,Speed: 0.5 | Turn: 2.0 
TEXT_TOOLTIP_UTAT_WEAP1,1x Medium Mass Driver Cannon: 1 / 3.0s / 480m
TEXT_TOOLTIP_UTAT_WEAP2,2x Super Heavy AV Blaster Cannons: 1 / 2.0s / 480m
TEXT_TOOLTIP_UTAT_WEAP3,4x AI Blaster Cannons: 5 / 2.5s / 320m
TEXT_TOOLTIP_VENATOR_8X,A refit of the iconic Venator Star Destroyer. This variant sacrifices the original's large fighter wing for more abundant and heavier weaponry, making it more effective in ship to ship combat.
TEXT_TOOLTIP_VENATOR_8X_MOVE,Speed: 4.0 | Accel: 0.2 | Turn: 0.4
TEXT_TOOLTIP_VENATOR_8X_SHIELD,Shields: 2600 / [26/R] (Heavy Frigate)
TEXT_TOOLTIP_VENATOR_8X_SQUADRON,Fighters: 1 / 2 | Bombers: 1 / 3
TEXT_TOOLTIP_VENATOR_8X_WEAP1,4x Medium Octuple Turbolasers: 2 / 5.0s / 6.2km
TEXT_TOOLTIP_VENATOR_8X_WEAP2,2x Medium Turbolasers: 2 / 1.67s / 6.2km
TEXT_TOOLTIP_VENATOR_8X_WEAP3,2x Light Dual Turbolasers: 2 / 5.0s / 5.2km
TEXT_TOOLTIP_VENATOR_8X_WEAP4,2x Heavy Dual Ion Cannons: 1 / 5.0s / 6.2km
TEXT_TOOLTIP_VENATOR_8X_WEAP5,2x Proton Torpedoes: 2 / 20.0s / 5.2km
TEXT_TOOLTIP_YEORG_CAPTISON,Yeorg Captison was a member of the notable Bakuran Captison family of politicians and was married to Tiree Captison. Yeorg was elected to the Bakuran Senate as Prime Minister around four years before the beginning of the Clone Wars. After the Empire took control over Bakura they allowed him to remain as Prime Minister, though the post held little authority, as it was now subservient to the Imperial governor, Wilek Nereus.
TEXT_UNIT_ACCLAMATOR_BATTLESHIP,Acclamator Battleship
TEXT_UNIT_ACCLAMATOR_DESTROYER,Acclamator Destroyer
TEXT_UNIT_ACCLAMATOR_I_SUPPORT,Acclamator Cargo Ship
TEXT_UNIT_AT_AT_WALKER_IC,Ion Refit AT-AT Walker
TEXT_UNIT_AT_KT_WALKER,AT-KT Walker
TEXT_UNIT_AT_KT_WALKER_COMPANY,AT-KT Walker Company
TEXT_UNIT_AT_OT_WALKER,AT-OT Walker
TEXT_UNIT_AT_OT_WALKER_COMPANY,AT-OT Walker Company
TEXT_UNIT_AT_XT_WALKER,AT-XT Walker
TEXT_UNIT_AV7,AV-7 Antivehicle Cannon
TEXT_UNIT_BRAK_FIGHTERS_RESEARCH,Fighter Modernization Program
TEXT_UNIT_CONSULAR_REFIT,Consular Armed Cruiser
TEXT_UNIT_ETA2_FIGHTER,Eta-2 Actis Interceptor
TEXT_UNIT_H60,H-60 Tempest
TEXT_UNIT_LAAT_IMPERIAL,Imperial Spec Ops Gunship
TEXT_UNIT_LAC,Light Assault Cruiser
TEXT_UNIT_NTB_630,NTB-630 Naval Bomber
TEXT_UNIT_OG9_COMPANY,OG-9 Homing Spider Droid Company
TEXT_UNIT_OG9HOMINGSPIDERDROID,OG-9 Homing Spider Droid
TEXT_UNIT_PHASE_TWO_AT_HEAVY,Republic Surplus Trooper Heavy AT 
TEXT_UNIT_PHASE_TWO_AT_LIGHT,Republic Surplus Trooper Light AT 
TEXT_UNIT_PHASE_TWO_CARBINER,Republic Surplus Trooper Carbineer 
TEXT_UNIT_PHASE_TWO_CARBINER_GRENADIER,Republic Surplus Trooper Carbineer Grenadier 
TEXT_UNIT_PHASE_TWO_GUNNER_HEAVY,Republic Surplus Trooper Heavy Gunner 
TEXT_UNIT_PHASE_TWO_GUNNER_LIGHT,Republic Surplus Trooper Light Gunner 
TEXT_UNIT_PHASE_TWO_PLATOON,Republic Surplus Trooper Platoon 
TEXT_UNIT_PHASE_TWO_RIFLEMAN,Republic Surplus Trooper Rifleman 
TEXT_UNIT_PHASE_TWO_RIFLEMAN_GRENADIER,Republic Surplus Trooper Rifleman Grenadier 
TEXT_UNIT_PHASE_TWO_SQUAD,Republic Surplus Trooper Squad
TEXT_UNIT_PRAETOR_I,Praetor-I Battlecruiser
TEXT_UNIT_PROCURATOR,Procurator Battlecruiser
TEXT_UNIT_REPUBLIC_TIE,T.I.E. Starfighter
TEXT_UNIT_SHADOW_ACCLAMATOR_I,Shadow Acclamator-I Cruiser (Carrier)
TEXT_UNIT_SHADOW_AT_AT_WALKER,Shadow AT-AT Walker
TEXT_UNIT_SHADOW_SCOUT_TROOPER_ASSAULT_SQUAD,Shadow Scout Trooper Carbineer Squad 
TEXT_UNIT_SHADOW_SCOUT_TROOPER_AT_HEAVY,Shadow Scout Trooper Heavy AT
TEXT_UNIT_SHADOW_SCOUT_TROOPER_CARBINE,Shadow Scout Trooper Carbineer
TEXT_UNIT_SHADOW_SCOUT_TROOPER_COMMANDO_SQUAD,Shadow Scout Trooper Commando Squad
TEXT_UNIT_SHADOW_SCOUT_TROOPER_GRENADIER,Shadow Scout Trooper Grenadier
TEXT_UNIT_SHADOW_SCOUT_TROOPER_GUNNER_LIGHT,Shadow Scout Trooper Light Gunner
TEXT_UNIT_SHADOW_SCOUT_TROOPER_PLATOON,Shadow Scout Trooper Platoon
TEXT_UNIT_SHADOW_SCOUT_TROOPER_REPEATING_SNIPER,Shadow Trooper Repeating Sniper
TEXT_UNIT_SHADOW_SCOUT_TROOPER_SERGEANT,Shadow Scout Trooper Sergeant
TEXT_UNIT_SHADOW_SCOUT_TROOPER_SNIPER,Shadow Scout Trooper Sniper
TEXT_UNIT_SHADOW_SCOUT_TROOPER_SNIPER_SQUAD,Shadow Scout Trooper Sniper Squad
TEXT_UNIT_SHADOW_STAR_DESTROYER_CARRIER,Shadow Imperial-I Star Destroyer (Carrier)
TEXT_UNIT_SHADOW_TX130S,Shadow TX-130S Fighter Tank
TEXT_UNIT_SHADOW_TX130S_COMPANY,Shadow TX-130S Fighter Tank Company
TEXT_UNIT_SHADOW_ULAV,Shadow Ultra-Light Assault Vehicle
TEXT_UNIT_SHADOW_ULAV_COMPANY,Shadow ULAV Company
TEXT_UNIT_SHADOW_VENGEANCE_DREADNOUGHT,Shadow Vengeance Star Dreadnought
TEXT_UNIT_SHADOW_VIGIL,Shadow Vigil Corvette
TEXT_UNIT_SITH_SLAYER,Sith Slayer
TEXT_UNIT_SITH_STRIDER,Sith Strider
TEXT_UNIT_SITH_STRIDER_COMPANY,Sith Strider Company
TEXT_UNIT_SITH_WAR_MAMMOTH,Sith War Mammoth
TEXT_UNIT_SITH_WAR_MAMMOTH_COMPANY,Sith War Mammoth Company
TEXT_UNIT_STAR_DESTROYER_TWO_ION,Imperial-II Star Destroyer Ion Refit
TEXT_UNIT_STAR_DESTROYER_X,Upgunned Imperial-I Star Destroyer
TEXT_UNIT_TIE_DEFENDER_RED_STAR,Modified TIE Defender, Red Star Squadron
TEXT_UNIT_TIE_FIGHTER_BF2,TIE Fighter Carrier Duty Refit
TEXT_UNIT_TIE_FIGHTER_MISSILE,Missile Refit TIE Fighter
TEXT_UNIT_TIE_INTERCEPTOR_ION,Ion Refit TIE Interceptor
TEXT_UNIT_UT_AT,UT-AT
TEXT_UNIT_VENATOR_8X,Venator Star Destroyer Refit
Z_TEXT_TOOLTIP_AF2_RESEARCH,Comb through old schematics for Rendili's failed Assault Frigate-II and put the ship to use for our own purposes. Unlocks Assault Frigate-II.
Z_TEXT_TOOLTIP_CORONA_RESEARCH,Steal the schematics for KDY's prototype frigate design and reverse-engineer the vessel for our own purposes. Unlocks Corona Frigate, retires Nebulon-B.
Z_TEXT_TOOLTIP_GLORY_RESEARCH,Acquire the schematics for KDY's prototype star destroyer design and reverse-engineer the vessel for our own purposes. Unlocks Glory-class Star Destroyer.
Z_TEXT_TOOLTIP_GORATH_RESEARCH,"Borrow" the schematics for Loronar's prototype strike cruiser design and reverse-engineer the vessel for our own purposes. Unlocks Gorath, retires Strike Cruiser.
Z_TEXT_TOOLTIP_MISSILE_BOAT_RESEARCH,Recover the schematics for Thrawn's Missile Boats and secure our starfighter supremacy. Replaces all Alpha-class XG-1 Starwing spawns with Missile Boats.
Z_TEXT_TOOLTIP_MTC_RESEARCH,Seize the schematics for TaggeCo's prototype frigate design and reverse-engineer the vessel for our own purposes. Unlocks Modular Taskforce Sensor Cruiser.
Z_TEXT_TOOLTIP_STAR_DESTROYER_GLORY,Reverse-engineered specialist Imperial-class derivative named after the flagship of Grand Admiral Demetrius Zaarin. Heavy line interdiction craft that features next-generation projectors without the visible bulbs found on other interdictors. Allows a similar combat capacity to an Imperial-I star destroyer with a weapons load based on its forerunner variants.
Z_TEXT_UNIT_AF2_RESEARCH,Reverse-engineer the Assault Frigate-II
Z_TEXT_UNIT_CORONA_RESEARCH,Reverse-engineer the Corona Frigate
Z_TEXT_UNIT_GLORY_RESEARCH,Reverse-engineer Kuat's latest Star Destroyer
Z_TEXT_UNIT_GORATH_RESEARCH,Reverse-engineer the Gorath Strike Cruiser
Z_TEXT_UNIT_MISSILE_BOAT_RESEARCH,Reverse-engineer the Missile Boat
Z_TEXT_UNIT_MTC_RESEARCH,Reverse-engineer the Modular Taskforce Cruiser
Z_TEXT_UNIT_SCIMITAR_RESEARCH,Reverse-engineer the Scimitar Assault Bomber
Z_TEXT_UNIT_STAR_DESTROYER_GLORY,Glory-class Star Destroyer
